AdvancedStats,,,,,,,,,,,,,,,,,
player_id,situation,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8483570,all,2021,0.98,0.93,0,0,8,3,1,12,1,1,1,7,11,1,1
8483570,5on5,2021,0.98,0.93,0,0,8,3,1,12,1,1,1,7,11,1,1
8483570,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8483570,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8483565,all,2021,0.37,0.36,0,2,13,2,9,24,3,1,0,12,0,19,1
8483565,5on5,2021,0.32,0.32,0,2,12,2,9,23,2,0,0,12,0,17,1
8483565,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8483565,5on4,2021,0.04,0.04,0,0,1,0,0,1,1,1,0,0,0,0,0
8483397,all,2021,1.34,1.36,0,0,12,4,3,19,3,3,1,9,5,15,2
8483397,5on5,2021,1.14,1.16,0,0,11,4,3,18,3,3,1,8,5,15,2
8483397,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8483397,5on4,2021,0.2,0.2,0,0,1,0,0,1,0,0,0,1,0,0,0
8482834,all,2021,1.05,1.08,0,0,10,1,3,14,1,1,0,9,0,8,0
8482834,5on5,2021,0.95,0.97,0,0,8,0,3,11,1,1,0,7,0,8,0
8482834,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482834,5on4,2021,0.11,0.11,0,0,2,1,0,3,0,0,0,2,0,0,0
8482815,all,2021,0.07,0.07,0,0,1,2,1,4,0,0,0,1,1,4,0
8482815,5on5,2021,0.07,0.07,0,0,1,2,1,4,0,0,0,1,1,3,0
8482815,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8482815,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482745,all,2021,1.65,1.54,0,1,12,3,1,16,3,2,0,10,0,8,2
8482745,5on5,2021,1.51,1.42,0,0,12,2,1,15,2,2,0,10,0,7,2
8482745,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8482745,5on4,2021,0.13,0.12,0,1,0,1,0,1,1,0,0,0,0,0,0
8482705,all,2021,15.92,15.43,9,6,148,53,53,254,31,16,9,132,362,98,24
8482705,5on5,2021,13.85,13.47,6,4,127,48,50,225,24,14,7,113,316,96,22
8482705,4on5,2021,0.32,0.32,0,0,2,1,0,3,0,0,0,2,7,0,1
8482705,5on4,2021,0.91,0.8,1,1,14,4,3,21,2,0,2,14,27,1,0
8482671,all,2021,0.54,0.5,1,0,10,1,6,17,3,2,0,8,0,1,6
8482671,5on5,2021,0.46,0.43,1,0,8,1,6,15,3,2,0,6,0,1,4
8482671,4on5,2021,0.05,0.05,0,0,1,0,0,1,0,0,0,1,0,0,1
8482671,5on4,2021,0.03,0.03,0,0,1,0,0,1,0,0,0,1,0,0,0
8482667,all,2021,1.53,1.35,1,3,8,3,4,15,4,0,2,8,3,4,2
8482667,5on5,2021,0.9,0.77,1,0,3,2,4,9,1,0,1,3,3,4,2
8482667,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482667,5on4,2021,0.63,0.58,0,3,5,1,0,6,3,0,1,5,0,0,0
8482665,all,2021,2.5,2.28,4,2,18,8,10,36,9,3,1,15,39,7,6
8482665,5on5,2021,0.63,0.63,3,1,8,7,3,18,5,1,0,7,37,7,6
